,Trope,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,\N,Associated_Movies,Number_movies
0,ABNegative,4,0,1,0,0,3,3,0,8,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,"['Andhadhun', 'Blood Work', 'Bruce Almighty', ""Cookie's Fortune"", 'Doctor Krishna', 'Earthquake', 'Get the Gringo', 'Hatari!', 'Little Miss Marker', 'The Greatest Show on Earth']",10
1,ABirthdayNotABreak,5,0,2,0,1,2,4,1,5,0,0,0,0,1,3,0,0,3,0,0,1,0,0,3,1,0,0,"['Batman Begins', 'Beast', 'Big Game', 'Creature with the Atom Brain', 'Happy Death Day', 'Hot Fuzz', 'Kiss of Death', ""Lee Daniels' The Butler"", 'The Room', 'The Sorrow and the Pity', 'Train to Busan', 'What We Did on Our Holiday', 'Zurich']",13
2,ABloodyMess,3,0,3,0,0,8,1,0,6,1,0,1,0,0,0,0,0,2,0,4,1,0,0,2,0,0,0,"['Carry on Behind', 'Cloud Atlas', 'Cornered', 'Diner', 'Eternal Sunshine of the Spotless Mind', 'Follow That Camel', 'Holmes & Watson', 'Hot Fuzz', 'Midnight', 'The Man Who Killed Don Quixote', 'The Mighty Ducks', 'The Quick and the Dead']",12
3,ABoyAGirlAndABabyFamily,0,0,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['Honey, I Blew Up the Kid', 'The Addams Family', 'Tully']",3
4,ABoyAndHisX,2,0,6,0,0,3,1,0,10,8,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,"['Air Bud', 'Alpha', 'Bumblebee', 'Fido', 'Fly Away Home', 'Free Willy', 'Homeward Bound II: Lost in San Francisco', 'Dog', 'Ladder of Swords', 'Lassie Come Home', 'Real Steel', 'Spirits of the Dead', 'The Three Lives of Thomasina']",13
5,ACappella,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,"['Anchorman: The Legend of Ron Burgundy', 'Big Fun in the Big Town', 'From Justin to Kelly', ""Isn't It Romantic"", 'Pitch Perfect']",5
6,ACatInAGangOfDogs,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Homeward Bound: The Incredible Journey', 'Marmaduke']",2
7,AChatWithSatan,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['Deconstructing Harry', 'Phantom of the Paradise', 'X-Men Origins: Wolverine']",3
8,AChildShallLeadThem,6,0,9,0,3,6,0,0,6,4,1,0,0,3,1,0,0,0,0,0,2,1,0,2,2,0,0,"['Blood Diamond', 'Caesar and Cleopatra', 'Children of the Corn', 'Dick', 'Idiocracy', 'Kundun', 'Newsies', 'Storm Over Asia', 'The Court Jester', 'The Great Wall', 'The Kid Who Would Be King', 'The Last Emperor', 'The Last Legion', 'The Matrix', 'The Phantom Menace', 'The Three Musketeers', 'Tropic Thunder', 'Wee Willie Winkie']",18
9,AChineseOdyssey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
10,ACrackInTheIce,3,0,3,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,"['Alpha', 'Everest', ""King of Devil's Island"", 'The Day After Tomorrow', 'The Thing']",5
11,ACupAngst,0,0,0,0,0,17,1,0,15,2,0,0,0,0,1,0,2,1,0,13,0,0,1,0,0,0,0,"['American Beauty', 'Bad Teacher', 'Carry on Loving', 'Crooklyn', 'Friends with Kids', 'Gidget', 'It Could Happen to You', 'Murder Party', 'Mustang', 'On Moonlight Bay', 'Phantom Thread', 'Pretty Cool Too', 'Remember the Night', 'Singles', 'Sixteen Candles', 'Some Kind of Wonderful', 'Stick It', 'Susie Q', 'The Girl with the Dragon Tattoo', 'The To Do List', 'The Tracey Fragments', 'Thoroughly Modern Millie', 'While You Were Sleeping']",23
12,ADR,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['The Big Lebowski'],1
