Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
Adaptation Title Change, Ten Things I Hate About You is a modernised adaptation of Shakespeare's The Taming of The Shrew .,,,,,,0,5856,5856
"Screw the Rules, I'm Beautiful!"," Bianca believes she can manipulate Cameron's feelings for her based on this. When he finds out, Cameron disagrees. Joey feels that, as the most handsome man on campus, he can have any woman he wants and be damned her feelings on the matter.",,,,,,0,55,55
Red Is Heroic," Inverted. Joey's sports car is red, but he's a Jerk Jock .",,yes,,,,0,0,0
The '90s," Ska (lots of it), The Real World , Dawson's Creek , and Jared Leto references. Patrick: You know, these guys are no Bikini Kill or the Raincoats, but they're not bad.",,,,,,0,5856,5856
High School AU, It's intentionally The Taming of the Shrew in a 1999 American high school.,,,,,,0,5856,5856
Culturally Sensitive Adaptation," The Taming of the Shrew is one of the most difficult Shakespeare plays to adapt due to having a lot of questionable material regarding the treatment of women, with the ""comedy"" coming from a man setting a shrewish woman ""in her place"" by humiliating and torturing her until she becomes submissive . This film opts to keep the bones of the comedic setup, but dramatically overhauls the relationship between the leads to be more respectful and sincere, with meaningful Character Development between both Patrick and Kat that 1.37.36s with them happily being together. A common alternate interpretation of the original play is that it was actually meant as a satire of misogyny-ridden romantic comedies of the era , and as such meant to be laid thick with irony, including Kate's ""submission"" to her male partner. This subsequently led to the interpretation that Kate and Petrucio ""tame"" each other , and in both being equally tempestuous hotheads, they're actually perfect for each other . 10 Things commits as an adaptation to this interpretation, elevating it from irony-driven subtext to actual text.",,,,,,0,5856,5856
Composite Character, Joey is one for the original Taming of the Shrew 's Gremio and Hortensio.,,,,,,0,5856,5856
The Cast Showoff," In-universe. Averted with Cameron, who signs up as Bianca's French tutor in order to get close to her, despite being unable to speak French. In real life, Joseph Gordon-Levitt speaks fluent French. Michael: She's actually looking for a French tutor... Cameron: Are you serious? That's perfect! Michael: Do you speak French? Cameron: Well, no, but I will!",yes,,,,,0,0,0
Hollywood Geography, Anyone who's ever lived in Seattle will be somewhat bemused by how quickly they get from various points of the city to others. An example: It's a 45-minute drive from Stadium High School in Tacoma (where the actual school building is located) to the docks where they rent the boat when they escape detention.,,,,,,32,34,2
Lighter and Softer," The Taming of the Shrew was a good bit more misogynistic, with the ""taming"" of Kate being far more one-sidedly based around Petrucio torturing and humiliating her until she becomes a perfectly subservient wife as a means of proving that any woman can be ""put in their place"" . Here, while aspects of the setup are the same â Patrick starts wooing Kat because of a bet â the romance is almost completely overhauled to be much more sincere, the friction between the two has little that can be described outright as ""abusive,"" and the two 1.37.36 with mutual feelings and respect for one another. Also received a tone-shift between script drafts; the original screenplay is much darker, including a subplot about a suicidal Mandella.",,,,,,48,5856,5808
Establishing Character Music," The film establishes Kat quite well by having her pull up next to a bunch of peppy popular girls in a '60s beat-up Dodge Dart, glaring , to the tune of Joan Jett 's ""Bad Reputation"".",,,,,,74,85,11
