Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,book_movie_weirdness,Background?,sig_scene,Setups?,Start Time,End Time,Total Time
Rule of Symbolism,"Jackson bows to Tolkien with subtle grace: the film opens in total darkness, and the voice of Cate Blanchett begins to speak... in Elvish. Because with Tolkien the languages came first, and then the people who spoke them, and their stories. In the beginning was the word...",,,,,Timing captures the movie in total darkness,MYTH NARRATION,,28,63,
Adaptational Context Change," Galadriel's iconic introductory voice-over was originally spoken by Treebeard in the book, where he laments to Gandalf about the past. The film has Galadriel reminiscing about the history of the Ring. ",,,,x,,MYTH NARRATION,,28,452,
Opening Monologue," Galadriel's now iconic opening monologue of the film, describing the forging of the Rings Of Power , the Battle of the Last Alliance, Sauron's downfall and the One Ring being lost and forgotten, basically laying the groundwork for the beginning of the main story. The page quote at the top is just part of it. She speaks some Elvish (Sindarin) at the beginning of the monologue. ""( I amar prestar aen. ) The world is changed. ( Han matho ne nen. ) I feel it in the water. ( Han mathon ned cae. ) I feel it in the earth. ( A han noston ned gwilith. ) I smell it in the air. Much that once was is lost, for none now live who remember it.""",,,,,,MYTH NARRATION,,67,452,
Distant Prologue," The movie starts with Galadriel narrating several crucial events leading up to the series. These include the creation of the Rings of Power (c. 4900 years ago), the War of the Last Alliance (c. 3000 years ago), and Bilbo Baggins taking the One Ring from Gollum (60 years ago). It then cuts to Bilbo's 111th birthday party and his departure for Rivendell, leaving Frodo and the One Ring behind, which happened a decade before the film proper begins.",,,,,,MYTH NARRATION,,67,452,
War Was Beginning, The movie starts with Galadriel narrating a history lesson about Sauron.,,,,,"End when Sauron ""died""",MYTH NARRATION,,67,258,
Shout-Out,"Possibly The Wheel of Time ; ""History became legend. Legend became myth "" ",,,,,,MYTH NARRATION,,333,337,
Legend Fades to Myth," According to Galadriel's prologue, this is why things came to be as they were at the end of the Third Age: people forgot about past threats, and grew complacent. Sauron exploited that.",,,,,,MYTH NARRATION,,327,345,
Myth Prologue," The film opens with the story of how the rings of power were forged (effectively introducing the races of Middle Earth in the process), how Sauron used the One Ring of Power to take over Middle Earth, how Isildur failed to destroy the ring once Sauron was defeated, and how millennia would pass before it was fished out of the water once again. Galadriel, narrating, mourns that there are so few still alive who were there to witness it. This is a deviation from the book, which opened on Bilbo's birthday in the Shire, and makes the mythic scope of the film more immediately obvious to audiences.",,,,,,MYTH NARRATION,,67,452,
Creator Cameo,Senior prosthetics supervisor Gino Acevedo and prosthetics technicians Rich Mayberry and Xander Forterie as three of the seven Dwarf Lords who receive Rings of Power; ,,,,,,MYTH NARRATION,,81,85,
Creator Cameo,Concept artists John Howe and Alan Lee play two of the Nine Kings.,,,,,,MYTH NARRATION,,86,92,
Creator Cameo, Weta production worker Ben Britton and pre-viz storyboard shader Jason Secto play elves fighting in the Last Alliance. ,,,,,Fuzzy timing,MYTH NARRATION,,142,250,
Great Offscreen War," The movie begins with Galadriel recounting the story of the last war with Sauron, several thousand years prior. We only see the end of the final battle.",,,,,,PROLOGUE BATTLE,,67,255,
Forging Scene, The forging of the One Ring by Sauron is shown during the film's prologue.,,,,,,MYTH NARRATION,,115,131,
Million Mook March," The army of the Last Alliance, as a flashback.",,,,,,MYTH NARRATION,,142,254,
Improbable Aiming Skills,"There's the opening battle of Mount Doom, where human archers shoot down orcs on the mountainside a good quarter mile away (long range for a modern infantry rifle, much less a bow). Perhaps justified if one accepts that it's Galadriel's recounting of events she didn't actually see but was simply told of.",,,,,,PROLOGUE BATTLE,,155,159,
Rain of Arrows," The prologue sequence shows the Battle of Dagorlad, where the combined armies of the Elves and NÃºmenÃ³reans rain arrows down on the orcs of Mordor before Sauron himself takes to the field.",,,,,,PROLOGUE BATTLE,,172,173,
Reality Has No Subtitles," Depending on the circumstances, non-Common dialogue may or may not be subtitled. A notable example is Elrond shouting orders to his troops at the battle on Mount Doom.",,,,,,PROLOGUE BATTLE,,168,171,
Onrushing Army, The prologue of the film features mindlessly rushing Orcs against more disciplined Elves.,,,,,,PROLOGUE BATTLE,,159,164,
Hope Spot," The film begins with one. During the battle between the Last Alliance of Elves and Man against Sauron's forces, the Alliance nearly succeeds in driving back the forces of Mordor... only for Sauron himself to join the battle and singlehandedly turn the tide back in his favor. But ironically, this also counts as a Hope Spot for Sauron too. Right as he's crushing the Alliance and on the cusp of total victory, Isildur severs the ring from his hand, separating him from his source of power and destroying his physical body.",,,,,,PROLOGUE BATTLE,,142,192,
"Oh, Crap!",Example in the prologue battle when Sauron makes his appearance on the battlefield. These mighty DÃºnedain have just mopped the floor with the Orcs and are about to declare their victory... then all of a sudden a black-armoured giant with a very big mace strides into their midst... ,,,,,,PROLOGUE BATTLE,,192,203,
Black Knight," Sauron from the intro of the opening wears a huge suit of armour and swings a gigantic mace everywhere, sending scores of soldiers flying with each blow. He is modelled after his former master Morgoth from The Silmarillion , and the books ( or at least the appendix ) did mention him taking part in this particular battle personally, so at least it's fairly justified.",,,,,,PROLOGUE BATTLE,,192,213,
Scary Impractical Armour," Sauron, and a few other bad guys, wear some pretty intense armour.",,,,,,PROLOGUE BATTLE,,203,255,
Carry a Big Stick, The movie has Big Bad Sauron wielding a mace big enough to knock half-a-dozen men into the air with every sweep.,,,,,,PROLOGUE BATTLE,,203,213,
Foe-Tossing Charge," Sauron during the prologue, to get to Isildur. He enters the battlefield and starts smacking a half dozen soldiers forty feet into the air with each swing of his mace.",,,,,,PROLOGUE BATTLE,,203,213,
Weapon Stomp," King Elendil's sword is shattered when Sauron steps on it. In a subversion of the trope, Isildur uses the shattered blade to cut Sauron's fingers (and thus separated him from the ring).",,,,,,PROLOGUE BATTLE,,229,230,
Keystone Army," In the Action Prologue , when Isildur desperately slices off the fingers of Sauron's ring-hand, all of Sauron's troops fall dead in an instant.",,,,,,PROLOGUE BATTLE,,235,255,
Technicolor Death," Although it's right in the prologue rather than the end of the movie, death for Sauron basically means becoming the exploding man.",,,,,,PROLOGUE BATTLE,,244,255,
Pre-Explosion Glow," In the prologue, when his finger gets cut off, Sauron starts glowing from the inside before blowing up.",,,,,,PROLOGUE BATTLE,,244,255,
Defeat Equals Explosion," Sauron explodes with the force of a tactical nuke after Isildur cuts the ring from his hand in the prologue of the movie, flooring basically everyone across the battlefield with the shockwave.",,,,,,PROLOGUE BATTLE,,244,255,
Taking You with Me,"In the prologue, we see Sauron explode once the Ring is severed from his hand. Though this may be subverted as the affected scores of Men and Elves were more likely blown off of their feet than killed. ",,yes,,,,PROLOGUE BATTLE,,244,255,
Big Badass Battle Sequence, The battle between the Last Alliance and Mordor in the prologue certainly counts. ,,,,,,PROLOGUE BATTLE,,142,255,
Dramatic Necklace Removal, Isildur does this in order to get the One Ring off the chain around his neck and onto his finger when he was ambushed near the start of the movie. ,,,,,,MYTH NARRATION,,298,299,
Natural Spotlight,"On the other hand, the one lighting Gollum's cave in the prologue comes off as highly improbable, considering its depth and the fact that Gollum can't stand daylight.",,,,,,MYTH NARRATION,,371,392,
Fake Shemp," When Bilbo finds the Ring at the start of the movie, Gollum cries out, ""My precious!"". However, Andy Serkis was not on set that day, so Dominic Monaghan stood in for him.",,,,,,MYTH NARRATION,,436,443,
"Action Film, Quiet Drama Scene"," The heartwarming and peaceful scenes of The Shire (especially in the Director's Cut), filled with laughter, friendship and happy children (what a warrior lays down his life to protect) is what makes us actually care whether or not Frodo and the Fellowship defeat the Lord of the Rings or not.",,,,,,SHIRE,,589,618,
Delicious Distraction," During the extended version opening of the movie (well, second opening; during the Concerning Hobbits scene), a hobbit-maid is about to kiss her hobbit-lover, who is distracted by a basket of muffins going around and eats it instead. At the exact same moment, Bilbo narrates that ""a Hobbit's only true love is for food.""",,,,,,SHIRE,,571,574,
Punctuality Is for Peasants," When Gandalf the Grey meets up with Frodo Baggins on the way to attend the birthday party being thrown for Frodo's uncle Bilbo Baggins, Frodo accuses the wizard of being late, to which Gandalf retorts that he arrived when he planned to. Subverted and Played for Laughs , as Gandalf, who is a close friend of the Baggins, actually arrived just as the party was being set up, and both Frodo and Gandalf quickly break into laughter at the quip. Frodo: You're late! Gandalf: A wizard is never late, Frodo Baggins. Nor is he early, he arrives precisely when he means to!",,yes,,,,SHIRE,,668,681,
Blatant Lies," Gandalf offers up a couple of them early on: Gandalf: A wizard is never late, Frodo Baggins, nor is he early, he arrives precisely when he means to. ",,,,,,SHIRE,,671,681,
Wrongfully Attributed," The now famous line, ""A wizard is never late, nor is he early, he arrives precisely when he means to,"" was first uttered here. Somehow, however, the line keeps being referenced as a genuine quote from the books by casual fans of the 'verse.",,,,,x,SHIRE,,671,681,
Blatant Lies,"Gandalf: If you're referring to the incident with the Dragon, I was barely involved. All I did was give your uncle a little nudge out of the door.",,,,,,SHIRE,,840,849,
Noodle Incident," The ""incident with the dragon"" is this to anyone who hasn't read the books.",,,,,,SHIRE,,840,849,
Disapproving Look," There's a two-fer early in the film as Gandalf is riding into the Shire with Frodo, who is explaining how Gandalf has come to be labeled a ""disturber of the peace"" while an old Hobbit sees them and gives Gandalf a very disapproving look.",,,,,,SHIRE,,857,859,
Disapproving Look," Then the children of the Shire see him and come running, Gandalf setting off some fireworks to delight them. The old Hobbit watches them cheering with a boisterous laugh, then stops as his wife comes out and give him her own disapproving look.",,,,,,SHIRE,,888,893,
Establishing Character Moment,"Gandalf arriving in Hobbiton for Bilbo's birthday party. All the children are excited to see him , while the adults look on disapprovingly (for the most part, one Hobbit laughs at a miniature fireworks display only to frown when his wife appears.)",,,,,,SHIRE,,861,888,
Actually Pretty Funny," When Gandalf arrives at Bag End and knocks on the front door, he expects a warm greeting from his old dear friend. Gandalf's instead greeted by the Hobbit (who doesn't realize who's knocking) yelling through the closed door and going on a very Bilbo-esque tirade about visitors, well-wishers, and distant relations. Gandalf just stares at the door throughout all this before chuckling. Even 60 years after the Quest of Erebor , Bilbo is still Bilbo.",,,,,,SHIRE,,937,955,
Forgot to Mind Their Head," This was a hazard both in and out of universe: During the scene where Gandalf visits Bilbo in his hobbit hole, Gandalf, stooping, accidentally backs into a chandelier (as part of the script). His actor Ian McKellen then promptly turns and accidentally smacks his head on the roof, an (unscripted) accident so funny that they left it in .",,,,,,SHIRE,,1000,1007,
Locked Out of the Loop," In contrast to the book (and despite Gandalf's urgings), Frodo is not made privy to Bilbo's plans for his disappearing act during his 111st Birthday, or that he's leaving the Shire. ",,,,,Starts when Bilbo talks of his plans to Gandalf. Ends when Bilbo disappears during the party.,SHIRE,,1085,1524,
Blowing Smoke Rings," Gandalf and Bilbo share some pipeweed. Bilbo blows a smoke ring, then Gandalf uses his magic to create a full-masted tall ship out of smoke, which he then ""sails"" through Bilbo's smoke ring.",,,,,,SHIRE,,1166,1188,
Last Day of Normalcy," Bilbo's birthday party introduces us to all the characters of Hobbiton prior to their being thrust into their adventure, from gentle and thoughtful Frodo to loyal and simple Samwise, to the mischievous pair of Merry and Pippin (their role changed somewhat from the books, where they were more savvy to Bilbo's magic ring). This is a downplayed example, though, as while it does serve the purpose of showing the tranquility of Hobbiton, it isn't until Gandalf returns with confirmation of the nature of Bilbo's ring that Frodo is thrust out the door on an adventure.",,,,,End is when Frodo gets home after Bilbo's birthday party.,BIRTHDAY,,1208,2478,
Consummate Storyteller," Bilbo is prone to regaling Hobbiton with tales of his adventures, such that at his 111th birthday party, we see a group of hobbit children gathered at his feet, listening with rapt attention to him recounting the tale of how three trolls had caught him and his dwarf companions, and were debating the best way to cook and eat them all.",,,,,,BIRTHDAY,,1247,1273,
Establishing Character Moment,Merry and Pippin's mischief at Bilbo's birthday party. ,,,,,,BIRTHDAY,,1277,1418,
