Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Unnamed: 9,Unnamed: 10
The '90s," An odd but valid example — the whole movie seems really dated looking back, but at the time it was made, nobody dressed or talked like the characters in Clueless . The movie influenced the '90s, not the other way around. It should be noted that some of the clothing, specifically the looks sported by the teen guys, is still relevant and prevalent as of The New '10s .",No,No,Whole Movie,Yes,No,0,5833,,
Actually Pretty Funny," Even though Heather's his girlfriend (at the time) and he's been engaged in Snark-to-Snark Combat with Cher up to this point in the movie, Josh laughs at Cher's line about how she remembers who said ""To thine own self be true"". (see Shout-Out to Shakespeare below).",,,,,,2661,2669,,
Adaptation Title Change, Clueless is loosely based on Emma .,No ,No,Whole Movie,Yes ,No,0,5833,,
Adaptational Angst Downgrade," The scene in which Cher carelessly offends Lucy with her ""I don't speak Mexican"" comment and is chided by Josh is a loose, and much less serious, equivalent to the pivotal scene from Emma in which Emma publicly insults Miss Bates at the picnic and is sternly reprimanded by Mr Knightley. However, numerous other events, such as the failure of her driving test and her fight with Tai, collectively send Cher into the same inner turmoil that the events at the picnic induced for Emma.",No,No,,,,4302,4323,,
Adapted Out," Due to Christian being gay, there is no Jane Fairfax equivalent.",,,,,,3955,3989,,
Affair Hair," Dionne finds an entire braided hair extension in Murray's car, and accuses him of infidelity. When Murray jokingly suggests it may have fallen off Dionne herself, she reacts angrily, yelling, ""I do not wear polyester hair!""",,,,,,215,230,,
All Periods Are PMS," When Murray and Dionne have another one of their typical fights and they accuse the other of commiting infidelity, Murray asks her ""Is it that time of the month again?"" Cue the gasps of many students gathered around the couple listening and Dionne shooting Murray an angry look.",,,,,,236,230,,
Alpha Bitch," Both Cher and Amber subvert this. Cher is rich, beautiful, and one of the most popular girls in school, but she doesn't act like a typical alpha bitch (though she is dismissive of Travis in the beginning). Amber does act like an alpha bitch, but a milder one, and Cher is higher on the high school social pecking order. Also, while the two snipe at each other, they don't seem to hate each other or try to destroy each other's lives.",,Yes,Whole Movie,,,0,5833,,
Altering the Grades, Cher has her low grades changed by: Telling her lesbian gym teacher than an evil man broke her heart; Appeasing her environmental teacher by promising to raise public awareness about the Pismo Beach disaster; Fixing up her social studies teacher with the environmental teacher.,,,,,,606,1233,,
Ambiguously Jewish," The Horowitzes. The series makes it more explicit with Cher singing ""I Have a Little Dreidel"".",,,Whole Movie,Yes,,0,5833,,
Answer Cut," After Christian ends his date with Cher early, she wonders why he didn't respond to her: Cher: What's wrong with me? Dionne: [in the car the next day] Nothing! Maybe he really was tired.",,,,,,3910,3913,,
"Arson, Murder, and Jaywalking"," Cher calls Josh for a ride home from a party because her driver abandoned her: ""This guy with a gun held me up, took my money and my phone, and he yelled at me and he forced me to ruin my dress!""",No,No,,,,2549,2524,,
Artsy Beret," Josh briefly has a pretentious college girlfriend, who talks condescendingly about philosophy and wears a beret. She's not quite as intellectual as she thinks she is, as she mangles a Shakespeare quote that Cher knows correctly.",No,No,,,,2629,2669,,
"Aw, Look! They Really Do Love Each Other"," While most of the time Dionne and Murray are snapping at each other, Cher notes they really are affectionate with each other when they think no one's looking. Same with Josh and Cher, as most of the time when the two are bickering, neither can stand it when the other gets hurt. (Cher disapproves of Tai liking Josh because she likes Josh; Josh argues with a lawyer who insults Cher over a minor mistake.)",,,,,,4050,4070,,
Belligerent Sexual Tension, Cher and Josh who spend most of the time bickering and fighting before falling for one another and eventually dating.,No,No,Whole Movie,,,480,5833,,
Big Fancy House," Cher's mansion. It's big enough to throw Mr. Hall and Ms. Geist's wedding. Also Dionne’s house, which is enormous and beautiful, even if it’s not a mansion.",Somewhat,,,,,443,450,,
Birds of a Feather," Tai and Travis, who are both to some extent ""stoners"", end up becoming a couple.",,,Whole Movie,,,1440,1459,,
Birds of a Feather," Tai and Travis, who are both to some extent ""stoners"", end up becoming a couple.",,,Whole Movie,,,2168,2190,,
